Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras Kualitas Bawah I;16/01/2024;13,5;16/01/2024;13,5;13.5
Beras Kualitas Super I;16/01/2024;15,4;16/01/2024;15,4;15.4
Beras Kualitas Medium I;16/01/2024;13,5;16/01/2024;13,5;13.5
Beras;17/01/2024;14,1;17/01/2024;14,1;14.1
Beras Kualitas Bawah I;17/01/2024;13,5;17/01/2024;13,5;13.5
Beras Kualitas Bawah II;17/01/2024;13,2;17/01/2024;13,2;13.2
Beras Kualitas Medium I;17/01/2024;13,5;17/01/2024;13,5;13.5
Beras Kualitas Super I;17/01/2024;15,4;17/01/2024;15,4;15.4
Beras Kualitas Super II;17/01/2024;14,8;17/01/2024;14,8;14.8
Beras Kualitas Medium II;17/01/2024;14,2;17/01/2024;14,2;14.2
Beras;18/01/2024;14,2;18/01/2024;14,2;14.2
Beras Kualitas Super II;18/01/2024;14,8;18/01/2024;14,8;14.8
Beras Kualitas Super I;18/01/2024;15,4;18/01/2024;15,4;15.4
Beras Kualitas Medium II;18/01/2024;14,1;18/01/2024;14,1;14.1
Beras Kualitas Bawah I;18/01/2024;13,7;18/01/2024;13,7;13.7
Beras Kualitas Medium I;18/01/2024;13,8;18/01/2024;13,8;13.8
Beras Kualitas Bawah II;18/01/2024;13,4;18/01/2024;13,4;13.4
Beras Kualitas Bawah II;19/01/2024;13,4;19/01/2024;13,4;13.4
Beras Kualitas Super II;19/01/2024;14,8;19/01/2024;14,8;14.8
Beras Kualitas Super I;19/01/2024;15,4;19/01/2024;15,4;15.4
Beras;19/01/2024;14,2;19/01/2024;14,2;14.2
Beras Kualitas Bawah I;19/01/2024;13,7;19/01/2024;13,7;13.7
Beras Kualitas Medium II;19/01/2024;14,1;19/01/2024;14,1;14.1
Beras Kualitas Medium I;19/01/2024;13,8;19/01/2024;13,8;13.8
Beras Kualitas Medium I;22/01/2024;13,8;22/01/2024;13,8;13.8
Beras Kualitas Bawah II;22/01/2024;13,4;22/01/2024;13,4;13.4
Beras Kualitas Bawah I;22/01/2024;13,7;22/01/2024;13,7;13.7
Beras;22/01/2024;14,2;22/01/2024;14,2;14.2
Beras Kualitas Super I;22/01/2024;15,4;22/01/2024;15,4;15.4
Beras Kualitas Super II;22/01/2024;14,8;22/01/2024;14,8;14.8
Beras Kualitas Medium II;22/01/2024;14,1;22/01/2024;14,1;14.1
Beras;23/01/2024;14,2;23/01/2024;14,2;14.2
Beras Kualitas Bawah II;23/01/2024;13,4;23/01/2024;13,4;13.4
Beras Kualitas Medium I;23/01/2024;13,8;23/01/2024;13,8;13.8
Beras Kualitas Medium II;23/01/2024;14,1;23/01/2024;14,1;14.1
Beras Kualitas Super I;23/01/2024;15,4;23/01/2024;15,4;15.4
Beras Kualitas Super II;23/01/2024;14,8;23/01/2024;14,8;14.8
Beras Kualitas Bawah I;23/01/2024;13,7;23/01/2024;13,7;13.7
Beras Kualitas Super I;24/01/2024;15,4;24/01/2024;15,4;15.4
Beras;24/01/2024;14,2;24/01/2024;14,2;14.2
Beras Kualitas Bawah I;24/01/2024;13,7;24/01/2024;13,7;13.7
Beras Kualitas Bawah II;24/01/2024;13,4;24/01/2024;13,4;13.4
Beras Kualitas Medium I;24/01/2024;13,8;24/01/2024;13,8;13.8
Beras Kualitas Medium II;24/01/2024;14,1;24/01/2024;14,1;14.1
Beras Kualitas Super II;24/01/2024;14,8;24/01/2024;14,8;14.8
Beras Kualitas Super II;25/01/2024;15,7;25/01/2024;15,7;15.7
Beras Kualitas Super I;25/01/2024;15,5;25/01/2024;15,5;15.5
Beras Kualitas Medium II;25/01/2024;14,4;25/01/2024;14,4;14.4
Beras Kualitas Medium I;25/01/2024;13,9;25/01/2024;13,9;13.9
Beras Kualitas Bawah II;25/01/2024;13,8;25/01/2024;13,8;13.8
Beras;25/01/2024;14,5;25/01/2024;14,5;14.5
Beras Kualitas Bawah I;25/01/2024;13,7;25/01/2024;13,7;13.7
Beras Kualitas Bawah I;26/01/2024;13,7;26/01/2024;13,7;13.7
Beras;26/01/2024;14,5;26/01/2024;14,5;14.5
Beras Kualitas Super II;26/01/2024;15,7;26/01/2024;15,7;15.7
Beras Kualitas Medium II;26/01/2024;14,4;26/01/2024;14,4;14.4
Beras Kualitas Bawah II;26/01/2024;13,8;26/01/2024;13,8;13.8
Beras Kualitas Super I;26/01/2024;15,5;26/01/2024;15,5;15.5
Beras Kualitas Medium I;26/01/2024;13,9;26/01/2024;13,9;13.9
Beras Kualitas Medium I;29/01/2024;13,9;29/01/2024;13,9;13.9
Beras Kualitas Bawah II;29/01/2024;13,8;29/01/2024;13,8;13.8
Beras Kualitas Bawah I;29/01/2024;13,7;29/01/2024;13,7;13.7
Beras;29/01/2024;14,5;29/01/2024;14,5;14.5
