Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras Kualitas Medium II;13/03/2024;16,3;13/03/2024;16,3;16.3
Beras Kualitas Bawah II;13/03/2024;15,1;13/03/2024;15,1;15.1
Beras Kualitas Bawah I;13/03/2024;15,1;13/03/2024;15,1;15.1
Beras;13/03/2024;15,85;13/03/2024;15,85;15.85
Beras Kualitas Super I;14/03/2024;16,8;14/03/2024;16,8;16.8
Beras Kualitas Medium I;14/03/2024;15,3;14/03/2024;15,3;15.3
Beras Kualitas Medium II;14/03/2024;16,3;14/03/2024;16,3;16.3
Beras Kualitas Bawah I;14/03/2024;15,1;14/03/2024;15,1;15.1
Beras;14/03/2024;15,85;14/03/2024;15,85;15.85
Beras Kualitas Bawah II;14/03/2024;15,1;14/03/2024;15,1;15.1
Beras Kualitas Super II;14/03/2024;16,5;14/03/2024;16,5;16.5
Beras;15/03/2024;15,85;15/03/2024;15,85;15.85
Beras Kualitas Bawah I;15/03/2024;15,1;15/03/2024;15,1;15.1
Beras Kualitas Bawah II;15/03/2024;15,1;15/03/2024;15,1;15.1
Beras Kualitas Medium I;15/03/2024;15,3;15/03/2024;15,3;15.3
Beras Kualitas Medium II;15/03/2024;16,3;15/03/2024;16,3;16.3
Beras Kualitas Super I;15/03/2024;16,8;15/03/2024;16,8;16.8
Beras Kualitas Super II;15/03/2024;16,5;15/03/2024;16,5;16.5
Beras Kualitas Super II;18/03/2024;16,5;18/03/2024;16,5;16.5
Beras Kualitas Medium II;18/03/2024;16,3;18/03/2024;16,3;16.3
Beras Kualitas Super I;18/03/2024;16,8;18/03/2024;16,8;16.8
Beras Kualitas Medium I;18/03/2024;15,3;18/03/2024;15,3;15.3
Beras Kualitas Bawah I;18/03/2024;15,1;18/03/2024;15,1;15.1
Beras;18/03/2024;15,85;18/03/2024;15,85;15.85
Beras Kualitas Bawah II;18/03/2024;15,1;18/03/2024;15,1;15.1
Beras Kualitas Super I;19/03/2024;16,8;19/03/2024;16,8;16.8
Beras Kualitas Medium II;19/03/2024;16,3;19/03/2024;16,3;16.3
Beras Kualitas Medium I;19/03/2024;15,3;19/03/2024;15,3;15.3
Beras Kualitas Super II;19/03/2024;16,5;19/03/2024;16,5;16.5
Beras Kualitas Bawah I;19/03/2024;15,1;19/03/2024;15,1;15.1
Beras;19/03/2024;15,85;19/03/2024;15,85;15.85
Beras Kualitas Bawah II;19/03/2024;15,1;19/03/2024;15,1;15.1
Beras;20/03/2024;15,85;20/03/2024;15,85;15.85
Beras Kualitas Bawah I;20/03/2024;15,1;20/03/2024;15,1;15.1
Beras Kualitas Bawah II;20/03/2024;15,1;20/03/2024;15,1;15.1
Beras Kualitas Medium I;20/03/2024;15,3;20/03/2024;15,3;15.3
Beras Kualitas Medium II;20/03/2024;16,3;20/03/2024;16,3;16.3
Beras Kualitas Super I;20/03/2024;16,8;20/03/2024;16,8;16.8
Beras Kualitas Super II;20/03/2024;16,5;20/03/2024;16,5;16.5
Beras Kualitas Super II;21/03/2024;16,45;21/03/2024;16,45;16.45
Beras Kualitas Super I;21/03/2024;16,6;21/03/2024;16,6;16.6
Beras Kualitas Medium II;21/03/2024;16,2;21/03/2024;16,2;16.2
Beras Kualitas Bawah II;21/03/2024;15;21/03/2024;15;15.0
Beras Kualitas Bawah I;21/03/2024;14,9;21/03/2024;14,9;14.9
Beras Kualitas Medium I;21/03/2024;15,1;21/03/2024;15,1;15.1
Beras;21/03/2024;15,7;21/03/2024;15,7;15.7
Beras Kualitas Super II;22/03/2024;16,45;22/03/2024;16,45;16.45
Beras;22/03/2024;15,7;22/03/2024;15,7;15.7
Beras Kualitas Bawah I;22/03/2024;14,9;22/03/2024;14,9;14.9
Beras Kualitas Bawah II;22/03/2024;15;22/03/2024;15;15.0
Beras Kualitas Medium I;22/03/2024;15,1;22/03/2024;15,1;15.1
Beras Kualitas Medium II;22/03/2024;16,2;22/03/2024;16,2;16.2
Beras Kualitas Super I;22/03/2024;16,6;22/03/2024;16,6;16.6
Beras Kualitas Super II;25/03/2024;16,45;25/03/2024;16,45;16.45
Beras Kualitas Super I;25/03/2024;16,6;25/03/2024;16,6;16.6
Beras Kualitas Medium II;25/03/2024;16,2;25/03/2024;16,2;16.2
Beras;25/03/2024;15,7;25/03/2024;15,7;15.7
Beras Kualitas Bawah II;25/03/2024;15;25/03/2024;15;15.0
Beras Kualitas Bawah I;25/03/2024;14,9;25/03/2024;14,9;14.9
Beras Kualitas Medium I;25/03/2024;15,1;25/03/2024;15,1;15.1
Beras Kualitas Medium II;26/03/2024;16,2;26/03/2024;16,2;16.2
Beras Kualitas Super I;26/03/2024;16,6;26/03/2024;16,6;16.6
Beras Kualitas Super II;26/03/2024;16,45;26/03/2024;16,45;16.45
Beras Kualitas Medium I;26/03/2024;15,1;26/03/2024;15,1;15.1
Beras Kualitas Bawah I;26/03/2024;14,9;26/03/2024;14,9;14.9
Beras;26/03/2024;15,7;26/03/2024;15,7;15.7
Beras Kualitas Bawah II;26/03/2024;15;26/03/2024;15;15.0
Beras Kualitas Super I;27/03/2024;16,6;27/03/2024;16,6;16.6
Beras Kualitas Medium II;27/03/2024;16,2;27/03/2024;16,2;16.2
Beras Kualitas Medium I;27/03/2024;15,1;27/03/2024;15,1;15.1
Beras Kualitas Super II;27/03/2024;16,45;27/03/2024;16,45;16.45
Beras Kualitas Bawah I;27/03/2024;14,9;27/03/2024;14,9;14.9
Beras;27/03/2024;15,7;27/03/2024;15,7;15.7
Beras Kualitas Bawah II;27/03/2024;15;27/03/2024;15;15.0
Beras;28/03/2024;15,65;28/03/2024;15,65;15.65
Beras Kualitas Bawah I;28/03/2024;14,7;28/03/2024;14,7;14.7
Beras Kualitas Bawah II;28/03/2024;14,9;28/03/2024;14,9;14.9
Beras Kualitas Medium I;28/03/2024;15,1;28/03/2024;15,1;15.1
Beras Kualitas Medium II;28/03/2024;16,2;28/03/2024;16,2;16.2
Beras Kualitas Super I;28/03/2024;16,4;28/03/2024;16,4;16.4
Beras Kualitas Super II;28/03/2024;16,45;28/03/2024;16,45;16.45
Beras Kualitas Super II;29/03/2024;16,45;29/03/2024;16,45;16.45
Beras Kualitas Super I;29/03/2024;16,4;29/03/2024;16,4;16.4
Beras Kualitas Medium II;29/03/2024;16,2;29/03/2024;16,2;16.2
Beras Kualitas Bawah I;29/03/2024;14,7;29/03/2024;14,7;14.7
Beras Kualitas Bawah II;29/03/2024;14,9;29/03/2024;14,9;14.9
Beras;29/03/2024;15,65;29/03/2024;15,65;15.65
Beras Kualitas Medium I;29/03/2024;15,1;29/03/2024;15,1;15.1
Beras Kualitas Super I;04/01/2024;15,4;01/04/2024;15,4;15.4
Beras Kualitas Medium II;04/01/2024;14,2;01/04/2024;14,2;14.2
Beras Kualitas Medium I;04/01/2024;13,5;01/04/2024;13,5;13.5
Beras Kualitas Bawah II;04/01/2024;13,2;01/04/2024;13,2;13.2
Beras Kualitas Bawah I;04/01/2024;13,5;01/04/2024;13,5;13.5
Beras;04/01/2024;14,1;01/04/2024;14,1;14.1
Beras Kualitas Super II;04/01/2024;14,8;01/04/2024;14,8;14.8
Beras Kualitas Super II;04/03/2024;16,4;03/04/2024;16,4;16.4
Beras Kualitas Super I;04/03/2024;16,6;03/04/2024;16,6;16.6
Beras Kualitas Medium II;04/03/2024;16,3;03/04/2024;16,3;16.3
Beras Kualitas Bawah II;04/03/2024;15,4;03/04/2024;15,4;15.4
Beras Kualitas Bawah I;04/03/2024;15,2;03/04/2024;15,2;15.2
Beras;04/03/2024;15,85;03/04/2024;15,85;15.85
Beras Kualitas Medium I;04/03/2024;15,3;03/04/2024;15,3;15.3
Beras Kualitas Bawah II;04/04/2024;14,7;04/04/2024;14,7;14.7
Beras Kualitas Super II;04/04/2024;16,45;04/04/2024;16,45;16.45
Beras Kualitas Super I;04/04/2024;16,3;04/04/2024;16,3;16.3
Beras Kualitas Medium II;04/04/2024;15,9;04/04/2024;15,9;15.9
Beras;04/04/2024;15,5;04/04/2024;15,5;15.5
Beras Kualitas Bawah I;04/04/2024;14,5;04/04/2024;14,5;14.5
Beras Kualitas Medium I;04/04/2024;15,1;04/04/2024;15,1;15.1
Beras Kualitas Super I;04/06/2024;16,5;06/04/2024;16,5;16.5
Beras Kualitas Medium II;04/06/2024;15,1;06/04/2024;15,1;15.1
Beras Kualitas Medium I;04/06/2024;14,6;06/04/2024;14,6;14.6
Beras Kualitas Bawah II;04/06/2024;13,8;06/04/2024;13,8;13.8
Beras Kualitas Super II;04/06/2024;15,65;06/04/2024;15,65;15.65
Beras;04/06/2024;14,9;06/04/2024;14,9;14.9
Beras Kualitas Bawah I;04/06/2024;13,8;06/04/2024;13,8;13.8
Beras;04/07/2024;15;07/04/2024;15;15.0
Beras Kualitas Bawah I;04/07/2024;13,8;07/04/2024;13,8;13.8
Beras Kualitas Bawah II;04/07/2024;13,9;07/04/2024;13,9;13.9
Beras Kualitas Medium II;04/07/2024;15,3;07/04/2024;15,3;15.3
Beras Kualitas Super I;04/07/2024;16,5;07/04/2024;16,5;16.5
Beras Kualitas Medium I;04/07/2024;14,6;07/04/2024;14,6;14.6
Beras Kualitas Super II;04/07/2024;15,9;07/04/2024;15,9;15.9
Beras Kualitas Super I;04/09/2024;16,3;09/04/2024;16,3;16.3
Beras Kualitas Bawah I;04/09/2024;13,9;09/04/2024;13,9;13.9
Beras Kualitas Bawah II;04/09/2024;14;09/04/2024;14;14.0
Beras Kualitas Medium I;04/09/2024;14,7;09/04/2024;14,7;14.7
Beras Kualitas Medium II;04/09/2024;15,2;09/04/2024;15,2;15.2
Beras Kualitas Super II;04/09/2024;15,75;09/04/2024;15,75;15.75
Beras;04/09/2024;15;09/04/2024;15;15.0
Beras Kualitas Super II;04/10/2024;16;10/04/2024;16;16.0
Beras Kualitas Medium II;04/10/2024;15,35;10/04/2024;15,35;15.35
Beras Kualitas Medium I;04/10/2024;14,7;10/04/2024;14,7;14.7
Beras Kualitas Bawah II;04/10/2024;14,1;10/04/2024;14,1;14.1
Beras Kualitas Bawah I;04/10/2024;13,9;10/04/2024;13,9;13.9
Beras;04/10/2024;15,05;10/04/2024;15,05;15.05
Beras Kualitas Super I;04/10/2024;16,3;10/04/2024;16,3;16.3
Beras Kualitas Medium I;04/11/2024;14,7;11/04/2024;14,7;14.7
Beras Kualitas Bawah II;04/11/2024;14,15;11/04/2024;14,15;14.15
Beras Kualitas Medium II;04/11/2024;15,35;11/04/2024;15,35;15.35
Beras;04/11/2024;15,05;11/04/2024;15,05;15.05
Beras Kualitas Super II;04/11/2024;16;11/04/2024;16;16.0
Beras Kualitas Bawah I;04/11/2024;13,9;11/04/2024;13,9;13.9
Beras Kualitas Super I;04/11/2024;16,3;11/04/2024;16,3;16.3
Beras Kualitas Super II;04/12/2024;16;12/04/2024;16;16.0
Beras Kualitas Super I;04/12/2024;16,3;12/04/2024;16,3;16.3
Beras;04/12/2024;15;12/04/2024;15;15.0
Beras Kualitas Bawah I;04/12/2024;13,9;12/04/2024;13,9;13.9
Beras Kualitas Bawah II;04/12/2024;14;12/04/2024;14;14.0
Beras Kualitas Medium I;04/12/2024;14,7;12/04/2024;14,7;14.7
Beras Kualitas Medium II;04/12/2024;15,2;12/04/2024;15,2;15.2
Beras;15/04/2024;15,5;15/04/2024;15,5;15.5
Beras Kualitas Super II;15/04/2024;16,45;15/04/2024;16,45;16.45
Beras Kualitas Super I;15/04/2024;16,3;15/04/2024;16,3;16.3
Beras Kualitas Medium II;15/04/2024;15,9;15/04/2024;15,9;15.9
Beras Kualitas Bawah I;15/04/2024;14,5;15/04/2024;14,5;14.5
Beras Kualitas Bawah II;15/04/2024;14,7;15/04/2024;14,7;14.7
Beras Kualitas Medium I;15/04/2024;15,1;15/04/2024;15,1;15.1
Beras Kualitas Medium I;16/04/2024;15,1;16/04/2024;15,1;15.1
Beras Kualitas Bawah II;16/04/2024;14,7;16/04/2024;14,7;14.7
Beras Kualitas Bawah I;16/04/2024;14,5;16/04/2024;14,5;14.5
Beras;16/04/2024;15,5;16/04/2024;15,5;15.5
Beras Kualitas Super II;16/04/2024;16,45;16/04/2024;16,45;16.45
Beras Kualitas Medium II;16/04/2024;15,9;16/04/2024;15,9;15.9
Beras Kualitas Super I;16/04/2024;16,3;16/04/2024;16,3;16.3
Beras;17/04/2024;15,5;17/04/2024;15,5;15.5
Beras Kualitas Bawah I;17/04/2024;14,5;17/04/2024;14,5;14.5
Beras Kualitas Bawah II;17/04/2024;14,7;17/04/2024;14,7;14.7
Beras Kualitas Medium II;17/04/2024;15,9;17/04/2024;15,9;15.9
Beras Kualitas Super I;17/04/2024;16,3;17/04/2024;16,3;16.3
Beras Kualitas Super II;17/04/2024;16,45;17/04/2024;16,45;16.45
Beras Kualitas Medium I;17/04/2024;15,1;17/04/2024;15,1;15.1
Beras Kualitas Super I;18/04/2024;16,3;18/04/2024;16,3;16.3
Beras;18/04/2024;15,35;18/04/2024;15,35;15.35
Beras Kualitas Bawah I;18/04/2024;14,2;18/04/2024;14,2;14.2
Beras Kualitas Bawah II;18/04/2024;14,4;18/04/2024;14,4;14.4
Beras Kualitas Medium I;18/04/2024;15;18/04/2024;15;15.0
Beras Kualitas Medium II;18/04/2024;15,65;18/04/2024;15,65;15.65
Beras Kualitas Super II;18/04/2024;16,45;18/04/2024;16,45;16.45
Beras Kualitas Super II;19/04/2024;16,45;19/04/2024;16,45;16.45
Beras Kualitas Super I;19/04/2024;16,3;19/04/2024;16,3;16.3
Beras Kualitas Medium II;19/04/2024;15,65;19/04/2024;15,65;15.65
Beras Kualitas Medium I;19/04/2024;15;19/04/2024;15;15.0
Beras Kualitas Bawah II;19/04/2024;14,4;19/04/2024;14,4;14.4
Beras;19/04/2024;15,35;19/04/2024;15,35;15.35
Beras Kualitas Bawah I;19/04/2024;14,2;19/04/2024;14,2;14.2
Beras Kualitas Bawah I;22/04/2024;14,2;22/04/2024;14,2;14.2
Beras;22/04/2024;15,35;22/04/2024;15,35;15.35
Beras Kualitas Super I;22/04/2024;16,3;22/04/2024;16,3;16.3
Beras Kualitas Medium II;22/04/2024;15,65;22/04/2024;15,65;15.65
Beras Kualitas Super II;22/04/2024;16,45;22/04/2024;16,45;16.45
Beras Kualitas Bawah II;22/04/2024;14,4;22/04/2024;14,4;14.4
Beras Kualitas Medium I;22/04/2024;15;22/04/2024;15;15.0
Beras Kualitas Medium I;23/04/2024;15;23/04/2024;15;15.0
Beras Kualitas Bawah II;23/04/2024;14,4;23/04/2024;14,4;14.4
Beras Kualitas Super II;23/04/2024;16,45;23/04/2024;16,45;16.45
Beras;23/04/2024;15,35;23/04/2024;15,35;15.35
Beras Kualitas Bawah I;23/04/2024;14,2;23/04/2024;14,2;14.2
Beras Kualitas Medium II;23/04/2024;15,65;23/04/2024;15,65;15.65
Beras Kualitas Super I;23/04/2024;16,3;23/04/2024;16,3;16.3
Beras;24/04/2024;15,35;24/04/2024;15,35;15.35
Beras Kualitas Bawah I;24/04/2024;14,2;24/04/2024;14,2;14.2
Beras Kualitas Bawah II;24/04/2024;14,4;24/04/2024;14,4;14.4
Beras Kualitas Medium I;24/04/2024;15;24/04/2024;15;15.0
Beras Kualitas Medium II;24/04/2024;15,65;24/04/2024;15,65;15.65
Beras Kualitas Super II;24/04/2024;16,45;24/04/2024;16,45;16.45
Beras Kualitas Super I;24/04/2024;16,3;24/04/2024;16,3;16.3
Beras Kualitas Bawah II;25/04/2024;14,3;25/04/2024;14,3;14.3
Beras Kualitas Super II;25/04/2024;16,35;25/04/2024;16,35;16.35
Beras Kualitas Super I;25/04/2024;16,3;25/04/2024;16,3;16.3
Beras;25/04/2024;15,25;25/04/2024;15,25;15.25
Beras Kualitas Bawah I;25/04/2024;14,1;25/04/2024;14,1;14.1
Beras Kualitas Medium II;25/04/2024;15,45;25/04/2024;15,45;15.45
Beras Kualitas Medium I;25/04/2024;14,9;25/04/2024;14,9;14.9
Beras Kualitas Super II;26/04/2024;16,35;26/04/2024;16,35;16.35
Beras Kualitas Bawah II;26/04/2024;14,3;26/04/2024;14,3;14.3
Beras Kualitas Bawah I;26/04/2024;14,1;26/04/2024;14,1;14.1
Beras;26/04/2024;15,25;26/04/2024;15,25;15.25
Beras Kualitas Medium I;26/04/2024;14,9;26/04/2024;14,9;14.9
Beras Kualitas Medium II;26/04/2024;15,45;26/04/2024;15,45;15.45
Beras Kualitas Super I;26/04/2024;16,3;26/04/2024;16,3;16.3
Beras;29/04/2024;15,25;29/04/2024;15,25;15.25
Beras Kualitas Bawah I;29/04/2024;14,1;29/04/2024;14,1;14.1
Beras Kualitas Bawah II;29/04/2024;14,3;29/04/2024;14,3;14.3
Beras Kualitas Medium II;29/04/2024;15,45;29/04/2024;15,45;15.45
Beras Kualitas Super I;29/04/2024;16,3;29/04/2024;16,3;16.3
Beras Kualitas Super II;29/04/2024;16,35;29/04/2024;16,35;16.35
Beras Kualitas Medium I;29/04/2024;14,9;29/04/2024;14,9;14.9
Beras;30/04/2024;15,25;30/04/2024;15,25;15.25
Beras Kualitas Bawah I;30/04/2024;14,1;30/04/2024;14,1;14.1
Beras Kualitas Bawah II;30/04/2024;14,3;30/04/2024;14,3;14.3
Beras Kualitas Medium I;30/04/2024;14,9;30/04/2024;14,9;14.9
Beras Kualitas Medium II;30/04/2024;15,45;30/04/2024;15,45;15.45
Beras Kualitas Super I;30/04/2024;16,3;30/04/2024;16,3;16.3
Beras Kualitas Super II;30/04/2024;16,35;30/04/2024;16,35;16.35
Beras Kualitas Bawah II;05/01/2024;13,2;01/05/2024;13,2;13.2
Beras Kualitas Medium II;05/01/2024;14,2;01/05/2024;14,2;14.2
Beras Kualitas Bawah I;05/01/2024;13,5;01/05/2024;13,5;13.5
Beras Kualitas Medium I;05/01/2024;13,5;01/05/2024;13,5;13.5
Beras Kualitas Super I;05/01/2024;15,4;01/05/2024;15,4;15.4
Beras Kualitas Super II;05/01/2024;14,8;01/05/2024;14,8;14.8
Beras;05/01/2024;14,1;01/05/2024;14,1;14.1
Beras Kualitas Medium I;05/02/2024;14,3;02/05/2024;14,3;14.3
Beras Kualitas Bawah I;05/02/2024;14,4;02/05/2024;14,4;14.4
Beras Kualitas Bawah II;05/02/2024;14,6;02/05/2024;14,6;14.6
Beras Kualitas Super II;05/02/2024;15,8;02/05/2024;15,8;15.8
Beras Kualitas Super I;05/02/2024;15,5;02/05/2024;15,5;15.5
Beras Kualitas Medium II;05/02/2024;15,2;02/05/2024;15,2;15.2
Beras;05/02/2024;14,95;02/05/2024;14,95;14.95
Beras Kualitas Super I;05/03/2024;16,6;03/05/2024;16,6;16.6
Beras Kualitas Medium II;05/03/2024;16,3;03/05/2024;16,3;16.3
Beras Kualitas Medium I;05/03/2024;15,3;03/05/2024;15,3;15.3
Beras Kualitas Bawah II;05/03/2024;15,4;03/05/2024;15,4;15.4
Beras Kualitas Bawah I;05/03/2024;15,2;03/05/2024;15,2;15.2
Beras;05/03/2024;15,85;03/05/2024;15,85;15.85
Beras Kualitas Super II;05/03/2024;16,4;03/05/2024;16,4;16.4
Beras Kualitas Super II;05/04/2024;16,45;04/05/2024;16,45;16.45
Beras Kualitas Medium II;05/04/2024;15,9;04/05/2024;15,9;15.9
Beras Kualitas Medium I;05/04/2024;15,1;04/05/2024;15,1;15.1
Beras Kualitas Bawah II;05/04/2024;14,7;04/05/2024;14,7;14.7
Beras Kualitas Bawah I;05/04/2024;14,5;04/05/2024;14,5;14.5
Beras;05/04/2024;15,5;04/05/2024;15,5;15.5
Beras Kualitas Super I;05/04/2024;16,3;04/05/2024;16,3;16.3
Beras Kualitas Medium I;05/06/2024;14,6;06/05/2024;14,6;14.6
Beras Kualitas Bawah I;05/06/2024;13,8;06/05/2024;13,8;13.8
Beras Kualitas Super II;05/06/2024;15,65;06/05/2024;15,65;15.65
Beras Kualitas Super I;05/06/2024;16,5;06/05/2024;16,5;16.5
Beras Kualitas Medium II;05/06/2024;15,1;06/05/2024;15,1;15.1
Beras Kualitas Bawah II;05/06/2024;13,8;06/05/2024;13,8;13.8
Beras;05/06/2024;14,9;06/05/2024;14,9;14.9
Beras Kualitas Medium I;05/07/2024;14,6;07/05/2024;14,6;14.6
Beras Kualitas Super II;05/07/2024;15,9;07/05/2024;15,9;15.9
Beras Kualitas Super I;05/07/2024;16,5;07/05/2024;16,5;16.5
Beras;05/07/2024;15;07/05/2024;15;15.0
Beras Kualitas Bawah I;05/07/2024;13,8;07/05/2024;13,8;13.8
Beras Kualitas Bawah II;05/07/2024;13,9;07/05/2024;13,9;13.9
Beras Kualitas Medium II;05/07/2024;15,3;07/05/2024;15,3;15.3
Beras Kualitas Super II;05/08/2024;15,9;08/05/2024;15,9;15.9
Beras Kualitas Super I;05/08/2024;16,5;08/05/2024;16,5;16.5
Beras Kualitas Medium I;05/08/2024;14,7;08/05/2024;14,7;14.7
Beras Kualitas Medium II;05/08/2024;15,3;08/05/2024;15,3;15.3
Beras Kualitas Bawah I;05/08/2024;13,8;08/05/2024;13,8;13.8
Beras;05/08/2024;15;08/05/2024;15;15.0
Beras Kualitas Bawah II;05/08/2024;13,9;08/05/2024;13,9;13.9
Beras Kualitas Medium I;05/09/2024;14,7;09/05/2024;14,7;14.7
Beras Kualitas Bawah II;05/09/2024;14;09/05/2024;14;14.0
Beras Kualitas Bawah I;05/09/2024;13,9;09/05/2024;13,9;13.9
Beras;05/09/2024;15;09/05/2024;15;15.0
Beras Kualitas Medium II;05/09/2024;15,2;09/05/2024;15,2;15.2
Beras Kualitas Super II;05/09/2024;15,75;09/05/2024;15,75;15.75
Beras Kualitas Super I;05/09/2024;16,3;09/05/2024;16,3;16.3
Beras Kualitas Super II;05/11/2024;16;11/05/2024;16;16.0
Beras Kualitas Medium II;05/11/2024;15,35;11/05/2024;15,35;15.35
Beras Kualitas Medium I;05/11/2024;14,7;11/05/2024;14,7;14.7
Beras Kualitas Bawah II;05/11/2024;14,15;11/05/2024;14,15;14.15
Beras Kualitas Bawah I;05/11/2024;13,9;11/05/2024;13,9;13.9
Beras;05/11/2024;15,05;11/05/2024;15,05;15.05
Beras Kualitas Super I;05/11/2024;16,3;11/05/2024;16,3;16.3
Beras Kualitas Medium II;05/12/2024;15,1;12/05/2024;15,1;15.1
Beras Kualitas Super I;05/12/2024;16,3;12/05/2024;16,3;16.3
Beras Kualitas Medium I;05/12/2024;14,5;12/05/2024;14,5;14.5
Beras Kualitas Bawah II;05/12/2024;13,8;12/05/2024;13,8;13.8
Beras Kualitas Bawah I;05/12/2024;13,7;12/05/2024;13,7;13.7
Beras;05/12/2024;14,85;12/05/2024;14,85;14.85
Beras Kualitas Super II;05/12/2024;15,65;12/05/2024;15,65;15.65
Beras Kualitas Bawah II;13/05/2024;14,1;13/05/2024;14,1;14.1
Beras Kualitas Bawah I;13/05/2024;14,1;13/05/2024;14,1;14.1
Beras Kualitas Super II;13/05/2024;16,35;13/05/2024;16,35;16.35
Beras;13/05/2024;15,2;13/05/2024;15,2;15.2
Beras Kualitas Super I;13/05/2024;16,5;13/05/2024;16,5;16.5
Beras Kualitas Medium II;13/05/2024;15,45;13/05/2024;15,45;15.45
Beras Kualitas Medium I;13/05/2024;14,7;13/05/2024;14,7;14.7
Beras Kualitas Medium I;14/05/2024;14,7;14/05/2024;14,7;14.7
Beras Kualitas Bawah I;14/05/2024;14,1;14/05/2024;14,1;14.1
Beras Kualitas Super I;14/05/2024;16,5;14/05/2024;16,5;16.5
Beras Kualitas Super II;14/05/2024;16,35;14/05/2024;16,35;16.35
Beras;14/05/2024;15,2;14/05/2024;15,2;15.2
Beras Kualitas Bawah II;14/05/2024;14,1;14/05/2024;14,1;14.1
Beras Kualitas Medium II;14/05/2024;15,45;14/05/2024;15,45;15.45
Beras Kualitas Super I;15/05/2024;16,5;15/05/2024;16,5;16.5
Beras;15/05/2024;15,2;15/05/2024;15,2;15.2
Beras Kualitas Super II;15/05/2024;16,35;15/05/2024;16,35;16.35
Beras Kualitas Bawah I;15/05/2024;14,1;15/05/2024;14,1;14.1
Beras Kualitas Bawah II;15/05/2024;14,1;15/05/2024;14,1;14.1
Beras Kualitas Medium I;15/05/2024;14,7;15/05/2024;14,7;14.7
Beras Kualitas Medium II;15/05/2024;15,45;15/05/2024;15,45;15.45
Beras Kualitas Bawah I;16/05/2024;13,8;16/05/2024;13,8;13.8
Beras;16/05/2024;14,9;16/05/2024;14,9;14.9
Beras Kualitas Medium I;16/05/2024;14,6;16/05/2024;14,6;14.6
Beras Kualitas Bawah II;16/05/2024;13,8;16/05/2024;13,8;13.8
Beras Kualitas Medium II;16/05/2024;15,1;16/05/2024;15,1;15.1
Beras Kualitas Super I;16/05/2024;16,5;16/05/2024;16,5;16.5
Beras Kualitas Super II;16/05/2024;15,65;16/05/2024;15,65;15.65
Beras Kualitas Medium I;17/05/2024;14,6;17/05/2024;14,6;14.6
Beras Kualitas Medium II;17/05/2024;15,1;17/05/2024;15,1;15.1
Beras Kualitas Super I;17/05/2024;16,5;17/05/2024;16,5;16.5
Beras Kualitas Super II;17/05/2024;15,65;17/05/2024;15,65;15.65
Beras Kualitas Bawah I;17/05/2024;13,8;17/05/2024;13,8;13.8
Beras;17/05/2024;14,9;17/05/2024;14,9;14.9
Beras Kualitas Bawah II;17/05/2024;13,8;17/05/2024;13,8;13.8
Beras Kualitas Medium I;20/05/2024;14,6;20/05/2024;14,6;14.6
Beras Kualitas Super II;20/05/2024;15,65;20/05/2024;15,65;15.65
Beras Kualitas Super I;20/05/2024;16,5;20/05/2024;16,5;16.5
Beras Kualitas Medium II;20/05/2024;15,1;20/05/2024;15,1;15.1
Beras Kualitas Bawah II;20/05/2024;13,8;20/05/2024;13,8;13.8
Beras Kualitas Bawah I;20/05/2024;13,8;20/05/2024;13,8;13.8
Beras;20/05/2024;14,9;20/05/2024;14,9;14.9
Beras Kualitas Bawah II;21/05/2024;13,8;21/05/2024;13,8;13.8
Beras Kualitas Medium I;21/05/2024;14,6;21/05/2024;14,6;14.6
Beras Kualitas Medium II;21/05/2024;15,1;21/05/2024;15,1;15.1
Beras Kualitas Super I;21/05/2024;16,5;21/05/2024;16,5;16.5
Beras Kualitas Super II;21/05/2024;15,65;21/05/2024;15,65;15.65
Beras;21/05/2024;14,9;21/05/2024;14,9;14.9
Beras Kualitas Bawah I;21/05/2024;13,8;21/05/2024;13,8;13.8
Beras Kualitas Bawah I;22/05/2024;13,8;22/05/2024;13,8;13.8
Beras Kualitas Super II;22/05/2024;15,65;22/05/2024;15,65;15.65
Beras Kualitas Medium II;22/05/2024;15,1;22/05/2024;15,1;15.1
Beras Kualitas Medium I;22/05/2024;14,6;22/05/2024;14,6;14.6
Beras Kualitas Bawah II;22/05/2024;13,8;22/05/2024;13,8;13.8
Beras;22/05/2024;14,9;22/05/2024;14,9;14.9
Beras Kualitas Super I;22/05/2024;16,5;22/05/2024;16,5;16.5
Beras;23/05/2024;14,9;23/05/2024;14,9;14.9
Beras Kualitas Bawah I;23/05/2024;13,8;23/05/2024;13,8;13.8
Beras Kualitas Bawah II;23/05/2024;13,8;23/05/2024;13,8;13.8
Beras Kualitas Medium I;23/05/2024;14,6;23/05/2024;14,6;14.6
Beras Kualitas Medium II;23/05/2024;15,1;23/05/2024;15,1;15.1
Beras Kualitas Super I;23/05/2024;16,5;23/05/2024;16,5;16.5
Beras Kualitas Super II;23/05/2024;15,65;23/05/2024;15,65;15.65
Beras Kualitas Bawah II;24/05/2024;13,8;24/05/2024;13,8;13.8
Beras Kualitas Medium I;24/05/2024;14,6;24/05/2024;14,6;14.6
Beras Kualitas Medium II;24/05/2024;15,1;24/05/2024;15,1;15.1
Beras Kualitas Super I;24/05/2024;16,5;24/05/2024;16,5;16.5
